year,region,region_code,heatwave_severity,population_exposed,excess_deaths,excess_deaths_pct,attrib_deaths_summer,attrib_deaths_summer_pct,attrib_deaths_heatwave,attrib_deaths_heatwave_pct,hospital_beds,deaths_per_100k_exposed,beds_per_100k_exposed
2019,Corse,94,1.50643285160381,340440,14.0,30.5,22.0,2.4,6.0,9.9,2052.0,1.7624250969333806,602.7493831512161
2020,Corse,94,0.0,0,,,15.0,1.6,0.0,0.0,2031.0,,
2021,Corse,94,0.0,0,,,20.0,2.0,0.0,0.0,2032.0,,
2022,Corse,94,7.06594074175293,185231,15.0,12.8,50.0,4.9,19.0,14.5,2025.0,10.257462303826033,1093.2295350130378
2023,Corse,94,13.302488807845,354266,0.0,0.0,34.0,3.5,15.0,14.8,1949.0,4.234106575285238,550.1515810153952
2024,Corse,94,0.627227302882958,186724,7.0,22.3,51.0,5.3,9.0,24.5,1990.0,4.819948158779804,1065.7440928857563
2016,Grand Est,44,0.76874052775552,1100960,,,251.0,1.8,10.0,5.7,34416.0,0.9082982124691178,3125.999128033716
2017,Grand Est,44,1.44911165046576,1673151,5.0,2.3,322.0,2.4,29.0,9.3,33763.0,1.73325659190354,2017.929045256525
2018,Grand Est,44,8.43243252627126,4998922,131.0,13.5,463.0,3.3,141.0,11.7,33350.0,2.8206081231113425,667.1438362110871
2019,Grand Est,44,16.0107655073848,4921138,54.0,4.1,435.0,3.0,183.0,12.2,32905.0,3.718652067875357,668.6461546089542
2020,Grand Est,44,9.77953717260734,4432412,186.0,25.3,438.0,3.0,132.0,13.0,32177.0,2.978062508629613,725.9478586376898
2021,Grand Est,44,0.687082755997655,1152662,22.0,16.1,166.0,1.2,17.0,10.0,31674.0,1.4748469195653193,2747.9000782536423
2022,Grand Est,44,1.57195132290879,1326828,46.0,26.4,546.0,3.6,32.0,10.4,31169.0,2.4117670112478784,2349.136436674535
2023,Grand Est,44,3.38738466564025,2096742,53.0,10.0,484.0,3.3,74.0,12.8,30386.0,3.5292849573290375,1449.200712343245
2024,Grand Est,44,0.0,0,,,389.0,2.6,0.0,0.0,30181.0,,
2016,Hauts-de-France,32,0.75857200172469,3139859,,,297.0,2.1,45.0,9.7,36180.0,1.4331853755216397,1152.2810419193984
2017,Hauts-de-France,32,1.12783931550189,2604361,42.0,11.6,274.0,1.9,35.0,8.9,35772.0,1.34389971282783,1373.5423007793465
2018,Hauts-de-France,32,6.65397254679629,3710212,104.0,17.0,448.0,3.0,75.0,10.9,35336.0,2.0214478310134303,952.3984074225408
2019,Hauts-de-France,32,21.6488941034783,6004947,98.0,10.0,359.0,2.5,107.0,10.2,35002.0,1.7818641863117193,582.886077096101
2020,Hauts-de-France,32,27.120004388324,5997734,562.0,45.6,630.0,4.1,354.0,20.1,34346.0,5.902229075180727,572.6496040004441
2021,Hauts-de-France,32,0.0,0,,,133.0,0.9,0.0,0.0,34258.0,,
2022,Hauts-de-France,32,3.57708856066663,2616909,122.0,15.9,571.0,3.7,121.0,13.9,33903.0,4.623775607023401,1295.5360694621022
